playerID,year,tmID,lgID,GP,Min,W,L,T,SHO,GA
benedcl01,1914,OT1,NHA,3,180,0,3,0,0,26
benedcl01,1919,OTS,NHL,5,300,3,2,0,1,11
benedcl01,1920,OTS,NHL,5,300,3,2,0,0,12
benedcl01,1922,OTS,NHL,6,361,5,1,0,1,8
benedcl01,1925,MTM,NHL,4,240,3,1,0,3,3
clancki01,1922,OTS,NHL,1,2,0,0,0,0,0
holmeha01,1913,TBS,NHA,3,195,3,0,0,0,8
holmeha01,1916,SEA,PCHA,4,240,3,1,0,0,11
holmeha01,1917,TOA,NHL,5,300,3,2,0,0,21
holmeha01,1918,SEA,PCHA,5,336,2,2,1,2,10
holmeha01,1919,SEA,PCHA,5,300,2,3,0,0,15
holmeha01,1924,VIC,WCHL,4,240,3,1,0,0,8
holmeha01,1925,VIC,WCHL,4,240,1,3,0,0,10
lehmahu01,1914,VML,PCHA,3,180,3,0,0,0,8
lehmahu01,1917,VML,PCHA,5,300,2,3,0,0,18
lehmahu01,1920,VML,PCHA,5,300,2,3,0,0,12
lehmahu01,1921,VML,PCHA,5,305,2,3,0,1,16
lehmahu01,1922,VAM,PCHA,4,240,1,3,0,0,10
lehmahu01,1923,VAM,PCHA,2,120,0,2,0,0,5
lindsbe01,1912,VA1,PCHA,3,180,2,1,0,0,12
lindsbe01,1913,VA1,PCHA,3,195,0,3,0,0,13
moranpa01,1912,QU1,NHA,3,180,1,2,0,0,16
murrato01,1915,PO1,PCHA,5,300,2,3,0,1,15
reidch01,1923,CAT,WCHL,2,120,0,2,0,0,9
roachjo01,1921,TRS,NHL,5,305,3,2,0,1,9
vezinge01,1915,MOC,NHA,5,300,3,2,0,0,13
vezinge01,1916,MOC,NHA,4,240,1,3,0,0,23
vezinge01,1918,MTL,NHL,5,356,2,2,1,1,19
vezinge01,1923,MTL,NHL,4,240,4,0,0,1,4
vezinge01,1924,MTL,NHL,4,240,1,3,0,0,16
winklha01,1922,EDE,WCHL,2,122,0,2,0,0,3
