year,lgID,tmID,half,rank,G,W,L,T,GF,GA
1916,NHA,MOC,1,1,10,7,3,0,58,38
1916,NHA,MOC,2,3,10,3,7,0,31,42
1916,NHA,MOW,1,5,10,3,7,0,56,72
1916,NHA,MOW,2,4,10,2,8,0,38,65
1916,NHA,OT1,1,2,10,7,3,0,56,41
1916,NHA,OT1,2,1,10,8,2,0,63,22
1916,NHA,QU1,1,6,10,2,8,0,43,80
1916,NHA,QU1,2,2,10,8,2,0,54,46
1916,NHA,TBS,1,4,10,5,5,0,50,45
1916,NHA,TBS,2,5,4,2,2,0,14,16
1916,NHA,TOB,1,3,10,6,4,0,70,57
1916,NHA,TOB,2,6,4,1,3,0,3,12
1917,NHL,MTL,1,1,14,10,4,0,81,47
1917,NHL,MTL,2,3,8,3,5,0,34,37
1917,NHL,MTW,1,4,6,1,5,0,17,35
1917,NHL,OTS,1,3,14,5,9,0,67,79
1917,NHL,OTS,2,2,8,4,4,0,35,35
1917,NHL,TOA,1,2,14,8,6,0,71,75
1917,NHL,TOA,2,1,8,5,3,0,37,34
1918,NHL,MTL,1,1,10,7,3,0,57,50
1918,NHL,MTL,2,2,8,3,5,0,31,28
1918,NHL,OTS,1,2,10,5,5,0,39,39
1918,NHL,OTS,2,1,8,7,1,0,32,14
1918,NHL,TOA,1,3,10,3,7,0,42,49
1918,NHL,TOA,2,3,8,2,6,0,22,43
1919,NHL,MTL,1,2,12,8,4,0,62,51
1919,NHL,MTL,2,3,12,5,7,0,67,62
1919,NHL,OTS,1,1,12,9,3,0,59,23
1919,NHL,OTS,2,1,12,10,2,0,62,41
1919,NHL,QUB,1,4,12,2,10,0,44,81
1919,NHL,QUB,2,4,12,2,10,0,47,96
1919,NHL,TRS,1,3,12,5,7,0,52,62
1919,NHL,TRS,2,2,12,7,5,0,67,44
1920,NHL,HAM,1,4,10,3,7,0,34,38
1920,NHL,HAM,2,4,14,3,11,0,58,94
1920,NHL,MTL,1,3,10,4,6,0,37,51
1920,NHL,MTL,2,2,14,9,5,0,75,48
1920,NHL,OTS,1,1,10,8,2,0,49,23
1920,NHL,OTS,2,3,14,6,8,0,48,52
1920,NHL,TRS,1,2,10,5,5,0,39,47
1920,NHL,TRS,2,1,14,10,4,0,66,53
